Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
12/3/1991,91.75,92.12,91,91.25,1563600,0,1,14.50001492,14.55848909,14.38148618,14.42099576,6254400
12/2/1991,91.12,92.37,90.62,92.25,2347800,0,1,14.40045078,14.59799867,14.32143163,14.57903407,9391200
11/29/1991,93.87,93.87,92.37,92.5,1642400,0,1,14.83505613,14.83505613,14.59799867,14.61854365,6569600
11/27/1991,96.62,97.12,94.12,94.25,1803900,0,1,15.26966148,15.34868064,14.87456571,14.89511069,7215600
11/26/1991,95.62,98.12,94.62,97.87,1947700,0,1,15.11162317,15.50671895,14.95358487,15.46720937,7790800
11/25/1991,95,95.62,94.62,95.12,1063500,0,1,15.01363942,15.11162317,14.95358487,15.03260402,4254000
11/22/1991,95.37,96,94.62,94.75,1367800,0,1,15.0721136,15.17167773,14.95358487,14.97412985,5471200
11/21/1991,95.12,96.75,95.12,95.37,1527000,0,1,15.03260402,15.29020646,15.03260402,15.0721136,6108000
11/20/1991,97,97.37,95.37,95.5,1348200,0,1,15.32971604,15.38819022,15.0721136,15.09265858,5392800
11/19/1991,96.62,96.75,95,96.5,2124300,0,1,15.26966148,15.29020646,15.01363942,15.25069689,8497200
11/18/1991,96.87,97.75,96.25,97.25,1711500,0,1,15.30917106,15.44824477,15.21118731,15.36922562,6846000
11/15/1991,100,100.12,96,96.25,1957300,0,1,15.80383097,15.82279557,15.17167773,15.21118731,7829200
11/14/1991,99.12,100.12,98.37,100,1102500,0,1,15.66475726,15.82279557,15.54622853,15.80383097,4410000
11/13/1991,98.62,99.12,98.37,98.87,922600,0,1,15.5857381,15.66475726,15.54622853,15.62524768,3690400
11/12/1991,100.25,100.62,99.12,99.37,1150000,0,1,15.84334055,15.90181472,15.66475726,15.70426684,4600000
11/11/1991,100.12,100.75,99.87,100.12,664300,0,1,15.82279557,15.9223597,15.78328599,15.82279557,2657200
11/8/1991,101,101.37,100,100.25,1385000,0,1,15.96186928,16.02034346,15.80383097,15.84334055,5540000
11/7/1991,98.37,100,98.25,99.87,1899200,0,1,15.54622853,15.80383097,15.52726393,15.78328599,7596800
11/6/1991,96.75,97.25,96.37,96.62,1007800,0,1,15.29020646,15.36922562,15.23015191,15.26966148,4031200
11/5/1991,97.25,97.75,96.62,96.62,1171600,0,1,15.36922562,15.44824477,15.26966148,15.26966148,4686400
11/4/1991,97,97.75,96.62,97,1140900,1.21,1,15.32971604,15.44824477,15.26966148,15.32971604,4563600
11/1/1991,98.37,99.37,97.75,98.37,2138000,0,1,15.35469063,15.51078183,15.25791409,15.35469063,8552000
10/31/1991,100.12,100.37,98.25,98.25,1132500,0,1,15.62785022,15.66687302,15.33595969,15.33595969,4530000
10/30/1991,99,100.25,98.87,100.25,1527100,0,1,15.45302808,15.64814208,15.43273623,15.64814208,6108400
10/29/1991,98.37,99.37,97.5,98.87,1180400,0,1,15.35469063,15.51078183,15.2188913,15.43273623,4721600
10/28/1991,98.25,98.62,98,98.25,897200,0,1,15.33595969,15.39371343,15.29693689,15.33595969,3588800
10/25/1991,98.25,98.62,97.5,98,995100,0,1,15.33595969,15.39371343,15.2188913,15.29693689,3980400
10/24/1991,98,99.12,97.62,98.25,971600,0,1,15.29693689,15.47175903,15.23762224,15.33595969,3886400
10/23/1991,98.62,98.75,97.25,98.5,1581000,0,1,15.39371343,15.41400529,15.1798685,15.37498249,6324000
10/22/1991,100.25,100.5,98.5,98.5,1155400,0,1,15.64814208,15.68716487,15.37498249,15.37498249,4621600
10/21/1991,100.25,101,99.87,100.25,941300,0,1,15.64814208,15.76521047,15.58882742,15.64814208,3765200
10/18/1991,100,100.37,99.62,100.37,1315700,0,1,15.60911928,15.66687302,15.54980462,15.66687302,5262800
10/17/1991,101,101.25,99.37,99.87,1631900,0,1,15.76521047,15.80423327,15.51078183,15.58882742,6527600
10/16/1991,103.75,103.75,101.37,101.62,2025900,0,1,16.19446125,16.19446125,15.82296421,15.86198701,8103600
10/15/1991,101.87,104.75,99.75,104.25,3033600,0,1,15.90100981,16.35055244,15.57009648,16.27250685,12134400
10/14/1991,99.25,101.62,99.12,101.25,791000,0,1,15.49205088,15.86198701,15.47175903,15.80423327,3164000
10/11/1991,100,100.5,99.5,99.87,893600,0,1,15.60911928,15.68716487,15.53107368,15.58882742,3574400
10/10/1991,97.62,99.87,97,99.75,1417200,0,1,15.23762224,15.58882742,15.1408457,15.57009648,5668800
10/9/1991,97.75,98.25,96.75,97.25,1909500,0,1,15.25791409,15.33595969,15.1018229,15.1798685,7638000
10/8/1991,99.12,99.37,97.62,98,1438800,0,1,15.47175903,15.51078183,15.23762224,15.29693689,5755200
